name_func;id_handler;exception_name;user/sys
cythonize;5;Exception;sys
cythonize;5;OSError;sys
execute_script;22;null;sys
convertToFloat;23;ParseException;usr
_parseNoCache;33;ParseException;usr
_parseNoCache;33;null;sys
_parseNoCache;34;ParseException;usr
_parseNoCache;35;null;sys
_parseCache;36;null;sys
__init__;44;null;sys
__init__;46;null;sys
traceParseAction;61;null;sys
keepOriginalText;65;ParseFatalException;usr
_fit_and_score;72;null;sys
_fit_and_score;72;ValueError;sys
get_scorer;75;ValueError;sys
hinge_loss;76;TypeError;sys
_load_imgs;78;ImportError;sys
fetch_mldata;80;null;sys
fetch_mldata;81;null;sys
__getattr__;82;AttributeError;sys
load_sample_images;84;ImportError;sys
_mkdirp;86;null;sys
load_mlcomp;89;ValueError;sys
_compute_precision_cholesky;90;ValueError;sys
_compute_precision_cholesky;91;ValueError;sys
_log_multivariate_normal_density_full;93;ValueError;sys
assert_raises_regex;97;AssertionError;sys
assert_raise_message;98;AssertionError;sys
if_matplotlib;99;SkipTest;usr
check_supervised_y_no_nan;103;ValueError;sys
check_estimator_sparse_data;105;null;sys
check_estimator_sparse_data;105;null;sys
check_dtype_object;106;null;sys
check_estimators_nan_inf;113;e;usr
check_estimators_nan_inf;113;exc;usr
check_estimators_nan_inf;115;e;usr
check_estimators_nan_inf;117;e;usr
check_classifiers_one_label;120;e;usr
check_classifiers_one_label;120;exc;usr
check_classifiers_one_label;121;exc;usr
choice;124;ValueError;sys
makedirs;128;null;sys
plot_partial_dependence;132;ValueError;sys
plot_partial_dependence;133;ValueError;sys
plot_partial_dependence;134;ValueError;sys
predict_proba;136;null;sys
predict_proba;136;AttributeError;sys
staged_predict_proba;138;null;sys
staged_predict_proba;138;AttributeError;sys
feature_importances_;139;AttributeError;sys
graph_lasso;141;e;usr
_fit_transform;143;TypeError;sys
transform;144;ValueError;sys
signature;150;ValueError;sys
_bind;158;TypeError;sys
_bind;159;TypeError;sys
remove_move;161;AttributeError;sys
filter_args;170;ValueError;sys
__init__;172;ValueError;sys
retrieve;174;exception;usr
assert_raises_regex;175;AssertionError;sys
_unpickle;178;new_exc;usr
_unpickle;178;null;sys
_detect_encoding;190;SyntaxError;sys
memstr_to_bytes;191;ValueError;sys
mkdirp;192;null;sys
rm_subdirs;193;null;sys
rm_subdirs;194;null;sys
safe_repr;196;null;sys
safe_repr;198;null;sys
safe_repr;200;null;sys
format_exc;209;null;sys
load_compatibility;212;new_exc;usr
__call__;214;WorkerInterrupt;usr
__call__;214;TransportableException;usr
hash;217;null;sys
__call__;220;e;usr
_check_parameters;227;ValueError;sys
linkage_tree;230;ValueError;sys
_fit_and_score;233;null;sys
_fit_and_score;233;ValueError;sys
_arg_max_reduced_likelihood_function;238;ve;usr
_get_loss_function;243;ValueError;sys
_get_learning_rate_type;244;ValueError;sys
_get_penalty_type;245;ValueError;sys
spectral_embedding;249;ValueError;sys
null_space;251;ValueError;sys
